crates/pstore-blob/src/faulty.rs:38:9: replace Faults::none -> Self with Default::default()
crates/pstore-blob/src/faulty.rs:55:16: replace ^ with | in Inner::next_f64
crates/pstore-blob/src/faulty.rs:55:16: replace ^ with & in Inner::next_f64
crates/pstore-blob/src/faulty.rs:55:21: replace >> with << in Inner::next_f64
crates/pstore-blob/src/faulty.rs:56:16: replace ^ with | in Inner::next_f64
crates/pstore-blob/src/faulty.rs:56:16: replace ^ with & in Inner::next_f64
crates/pstore-blob/src/faulty.rs:56:21: replace >> with << in Inner::next_f64
crates/pstore-blob/src/faulty.rs:57:11: replace ^= with |= in Inner::next_f64
crates/pstore-blob/src/faulty.rs:57:16: replace >> with << in Inner::next_f64
crates/pstore-blob/src/faulty.rs:108:14: replace < with <= in Faulty<S>::read_fault
crates/pstore-blob/src/faulty.rs:111:14: replace < with <= in Faulty<S>::read_fault
crates/pstore-blob/src/faulty.rs:119:44: replace < with == in Faulty<S>::write_fault
crates/pstore-blob/src/faulty.rs:119:44: replace < with <= in Faulty<S>::write_fault
crates/pstore-blob/src/faulty.rs:122:14: replace < with <= in Faulty<S>::write_fault
crates/pstore-blob/src/faulty.rs:130:14: replace < with <= in Faulty<S>::cas_fault
crates/pstore-blob/src/faulty.rs:133:14: replace < with <= in Faulty<S>::cas_fault
crates/pstore-blob/src/faulty.rs:175:9: replace <impl crate::BlobStore for Faulty<S>>::get_tag -> Option<pstore_types::CasTag> with None
